label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11
0	1724 m^3	0.3248	Computational Media	Bioengineering	0.8799	366	0.3229	-0.4165	2489	hamster	-2.4278	958
2	1729 m^3	1.1381	Computer Science	Applied Mathematics	0.7345	-776	0.1002	1.1623	-235	rat	-0.6332	-97
0	-134 m^3	0.1315	Statistics	Computational Media	-0.4174	-179	-0.6603	1.5553	-360	rabbit, guinea pig	1.855	875
1	516 m^3	1.0298	Computer Engineering	Games and Playable Media, Computer Science, Technology and Information Management	0.6675	-835	1.1613	1.454	2040	pig	NULL	1398
2	-767 m^3	-0.0915	Electrical Engineering	Applied Mathematics	1.0198	-1546	-0.3989	0.7878	-1269	rat	0.5071	1055
3	741 m^3	0.3998	Human Computer Interaction	Data Science	1.3121	2666	0.4078	0.5275	590	cat	2.9131	925
0	2816 m^3	-0.0873	Statistics	Bioinformatics, Bioengineering, Computational Media	0.3665	1151	-0.1605	1.9552	1243	guinea pig, hamster	2.8986	932
3	493 m^3	-0.412	applied mathematics	Human Computer Interaction	0.7919	164	1.023	0.6438	2119	cat	1.2652	2027
4	530 m^3	0.2947	Computer Game Design	Biotechnology	0.0409	1535	0.1227	2.1473	583	fish	-0.2689	2241
2	46 m^3	0.1338	Computer Science	Technology and Information Management, Computer Science	0.8369	2077	-0.2603	1.0104	1	rat	-1.0002	993
2	490 m^3	0.5169	Computer Science	Statistics	0.2782	184	-0.1499	0.5495	286	rat	0.8825	-110
2	-457 m^3	-0.3861	Computer Science	Computational Media	0.2472	1209	-0.8723	-0.3032	-620	dog	-0.1384	924
4	-852 m^3	1.1628	Bioengineering	Computer Game Design, Robotics Engineering, Computer Engineering	0.6865	646	-0.1582	0.0435	423	reptile	1.4035	1922
2	282 m^3	-0.5606	Computer Science	Natural Language Processing	1.1738	-1211	0.6293	0.8986	-147	rat	-0.2166	-237
1	1083 m^3	1.294	Data Science	GAMES AND PLAYABLE MEDIA	2.077	791	1.0086	1.1213	817	Pig	1.2138	113
4	-290 m^3	-0.4169	Bioengineering	Robotics Engineering	0.901	868	-0.2042	-0.622	357	reptile, ferret	1.7906	2051
2	596 m^3	-0.8732	Computer Science	Natural Language Processing	0.5652	131	-1.261	0.7999	273	dog	-0.3371	-262
2	895 m^3	0.684	Computer Science	Natural Language Processing	0.4715	629	0.5169	1.1753	-80	rat	2.3065	808
0	3402 m^3	-0.0634	Statistics	Robotics Engineering, Computer Engineering, Computer Game Design	-0.087	1390	-1.0212	-1.6483	-946	rabbit	0.0642	347
2	185 m^3	1.4748	Natural Language Processing	Applied Mathematics	1.1429	-790	-0.9963	1.6529	527	rat	-1.3528	251
1	-638 m^3	0.7468	Natural Language Processing	Computer Science	-0.48	1291	0.8738	-0.1437	2126	pig	0.6519	539
1	1677 m^3	0.8547	Data Science	Games and Playable Media, Technology and Information Management	1.1347	-406	1.45	-0.0736	70	pig	0.2721	810
3	-275 m^3	0.2337	Robotics Engineering	Data Science	0.5541	3521	0.8704	1.8186	627	cat	-0.3146	237
4	548 m^3	0.2503	Bioengineering	Computer Game Design, Computer Engineering	0.8265	1892	0.0331	1.4785	1693	fish, reptile	-0.5671	1786
3	1149 m^3	0.209	Applied Mathematics	Human Computer Interaction	0.9404	103	2.4172	0.402	-273	chicken	2.2313	-371
0	912 m^3	0.091	NULL	Bioengineering, Computational Media, Electrical Engineering	-1.0502	6	-0.6788	1.5579	94	hamster	1.7817	-1041
2	715 m^3	-0.2017	Computer Science	Natural Language Processing	0.7829	276	-0.3665	0.3048	223	rat	0.1077	1721
1	1680 m^3	0.3829	Technology and Information Management	Robotics Engineering, Computer Engineering	1.2492	1164	-0.0594	-0.3112	1605	pig	-0.4487	1365
0	1704 m^3	0.2037	Games and Playable Media	Applied Mathematics	0.4946	833	-0.5168	0.5739	1115	rabbit, guinea pig	-0.2433	313
0	-97 m^3	1.143	Statistics	Computational Media	-0.8754	941	0.3251	0.6115	123	hamster, guinea pig	2.3592	438
2	754 m^3	0.6112	Computer Science	Natural Language Processing	1.0317	-430	-1.8989	0.3378	-264	dog	-1.1086	613
2	386 m^3	1.295	Computer Science	Applied Mathematics	-0.5338	-301	-0.7732	0.6952	1457	rat	-0.3107	2350
0	318 m^3	-0.0598	Games and Playable Media	Bioinformatics, Electrical Engineering	n/a	-264	0.5718	-0.272	-266	guinea pig, rabbit	1.6038	-1864
2	729 m^3	0.8923	Computer Science	Applied Mathematics	1.3984	-279	-0.0223	0.3761	1330	dog	-0.6778	-203
2	-98 m^3	0.7639	Computer Science	Applied Mathematics	0.083	158	0.0493	1.3021	822	dog	-0.2509	2130
2	1535 m^3	1.0512	Technology and Information Management	Applied Mathematics	-0.1425	1708	-1.6072	-0.1922	8	rat	1.0048	2348
1	3007 m^3	0.5203	Biotechnology	Computer Science, Technology and Information Management	0.4503	698	-0.68	2.4295	-471	pig	0.1412	377
2	1045 m^3	0.737	Games and Playable Media	Natural Language Processing	1.1779	-522	-0.2999	1.1925	935	rat	2.4108	1360
2	97 m^3	0.3414	Robotics Engineering	Natural Language Processing	-0.3645	1762	0.2365	0.8393	-150	rat	0.2814	-47
0	1460 m^3	1.194	Computational Media	Computational Media, Bioinformatics, Electrical Engineering	0.1102	-782	0.8088	0.7068	440	hamster	-0.4893	142
3	880 m^3	1.1261	Electrical Engineering	Data Science	0.2337	664	1.432	0.6626	1237	cat	0.1021	962
4	504 m^3	0.9718	Bioengineering	Statistics, Computer Science, Games and Playable Media	0.835	1396	0.3882	0.8619	2267	bird, fish, reptile	2.2714	1884
1	1238 m^3	-0.186	Electrical Engineering	technology and information management	0.6279	-228	0.9785	1.2341	-115	pig	-0.0903	808
4	-928 m^3	None	Bioinformatics	Technology and Information Management	-0.8736	-1067	-0.3756	0.6471	-774		0.0292	2342
1	228 m^3	?	technology and information management	Computer Science	0.7077	34	0.3253	-0.924	-282	pig	-0.1724	540
2	1243 m^3	-1.0142	Computer Science	Applied Mathematics	1.3002	992	-0.8055	0.5921	-1083	DOG	0.324	519
4	1649 m^3	0.6909	Bioinformatics	Computer Engineering	-0.3171	1786	None	-0.315	1979	fish	-0.2042	852
3	2211 m^3	-1.1812	Robotics Engineering	Games and Playable Media, Technology and Information Management	0.591	2242	1.2471	-0.4413	417	cat	0.4669	897
2	2189 m^3	-0.0106	Computer Science	Applied Mathematics	0.5228	-464	-0.672	0.0402	1221	rat	-0.6141	1376
0	612 m^3	-0.0344	Games and Playable Media	Computational Media, Bioengineering	-0.6919	1381	0.3548	0.1886	60	rabbit, hamster	1.428	-525
4	558 m^3	-0.6704	Computer Science	Biotechnology, Computer Engineering, Robotics Engineering	-0.4693	1649	1.1275	-0.1077	1161	fish	0.0663	672
2	840 m^3	-0.0612	Computer Science	aPPLIED mATHEMATICS	1.3742	264	0.2291	-0.2633	-639	dog	0.0924	380
1	1926 m^3	1.1466	Data Science	Statistics, Technology and Information Management, Games and Playable Media	-0.3697	257	0.2567		749	pig	0.9989	417
0	394 m^3	0.8726	Computational Media	Computational Media	0.1606	342	-1.0855	0.8825	2258	guinea pig	-1.1771	-190
0	252 m^3	0.041	Statistics	Human Computer Interaction	0.508	1405	0.0917	1.0373	107	hamster, rabbit	0.2163	-797
4	-520 m^3	0.3039	Bioinformatics	Robotics Engineering, Computer Game Design, Computer Engineering	0.4809	848	0.1279	0.5819	1752	ferret, bird	0.2029	N/A
1	898 m^3	0.4015	Technology and Information Management	Technology and Information Management, Games and Playable Media, Statistics	1.4919	1494	0.2473	1.0722	217	pig	0.519	390
0	511 m^3	0.5479	Computational Media	Bioengineering, Bioinformatics, Electrical Engineering	-0.045	3024	-0.5315	-1.1222	-936	guinea pig	0.0782	557
3	2503 m^3	-0.0083	Human Computer Interaction	Human Computer Interaction	1.5175	116	1.6352	-0.7166	1251	cat	1.1045	916
0	2088 m^3	-0.1375	Games and Playable Media	Data Science	-0.0861	1866	0.1567	0.5065	586	rabbit	-2.5706	614
0	1812 m^3	0.1941	Games and Playable Media	Bioinformatics, Bioengineering, Computational Media	-0.3443	None	0.7424	-0.1956	-472	rabbit	1.5215	-646
2	2259 m^3	0.7207	bioinformatics	Natural Language Processing	1.3972	-317	-0.7397	0.275	1305	rat	1.3715	401
3	949 m^3	0.4497	Robotics Engineering	Statistics, Games and Playable Media	-1.0724	141	0.6229	0.2216	999	cat	-1.24	1792
2	1224 m^3	1.4206	Computer Science	Applied Mathematics	0.636	-1605	-0.9733	1.9461	105	rat	1.2184	1719
1	1919 m^3	0.4323	Games and Playable Media	Games and Playable Media	0.2772	-223	0.6907	1.1581	1359	pig	0.7912	390
4	741 m^3	1.3138	Bioinformatics	Computer Game Design, Computer Engineering, Biotechnology	1.5299	-355	-1.4831	-0.6578	-23	fish, reptile	0.0409	1468
4	-287 m^3	-0.0718	Bioinformatics	Computer Engineering, Biotechnology	0.766	57	1.0676	0.3723	1423	reptile, bird	0.9171	631
1	478 m^3	0.2259	Biotechnology	Games and Playable Media, Statistics, Technology and Information Management	1.1966	121	0.0206	0.2256	1679	pig	0.0879	428
2	1086 m^3	-0.3879	Computer Science	Technology and Information Management, Games and Playable Media	-0.0766	-949	0.1337	-0.3301	132	dog	0.5801	1182
2	487 m^3	0.3246	Computer Science	Computer Engineering	1.1216	603	0.3622	2.1455	894	dog	2.5106	805
4	151 m^3	-0.15	Computer Game Design	Computer Engineering, Biotechnology	1.5492	1503	0.1393	0.817	1189	fish	-0.5129	1868
0	1171 m^3	-0.4723	Computational Media	Statistics	0.2984	3190	-0.425	0.5037	118	None	1.1777	-140
0	3847 m^3	0.4653	Games and Playable Media	Bioinformatics, Electrical Engineering	0.2162	451	-0.0626	1.8397	689	hamster	-0.5387	527
4	-62 m^3	0.5121	Computer Science	Computer Game Design, Robotics Engineering, Computer Engineering	0.5364	831	-0.2713	-0.6119	555	bird, reptile	-0.2499	1422
2	-303 m^3	0.1828	Human Computer Interaction	Applied Mathematics	1.7487	153	0.3629	1.1143	1351	Rat	1.1211	77
0	1517 m^3	-0.0669	Games and Playable Media	Electrical Engineering, Bioinformatics, Bioengineering	0.5127	2088	-0.1177	-0.205	1430	hamster	2.0354	-149
0	2095 m^3	0.1855	Statistics	Bioengineering, Bioinformatics	0.5119	1020	1.3936	-0.1354	-892	guinea pig	0.7069	-632
0	8 m^3	-0.2667	games and playable media	Bioengineering	1.0461	2112	0.5593	0.4375	1064	guinea pig	3.3592	825
1	205 m^3	0.8191	Data Science	Games and Playable Media, Computer Science	0.1898	-415	-0.4103	0.2843	726	pig	-0.6237	932
1	1807 m^3	-0.8743	computer engineering	Data Science	1.0382	n/a	1.7181	-0.9893	489	pig	0.3391	931
3	1144 m^3	0.5249	Robotics Engineering	Human Computer Interaction	-1.4713	2050	-0.5146	0.8538	96	cat	-1.3332	1930
2	1338 m^3	-0.4552	Computer Science	applied mathematics	-0.5444	1040	0.5931	0.152	764	dog	-1.5351	1036
4	-739 m^3	0.2748	Bioengineering	Computer Engineering	1.2598	670	-0.4155	1.3513	1780	fish, bird, reptile	2.864	326
1	-1057 m^3	-0.2652	Natural Language Processing	Statistics, Technology and Information Management	0.9764	-823	1.1475	1.1802	1031	guinea pig, hamster	1.1926	957
4	-600 m^3	-0.4576	Computer Game Design	Biotechnology, Computer Engineering	-0.1817	2080	0.2022	-0.2008	1156	ferret, fish	-0.5047	1523
3	-415 m^3	0.365	Applied Mathematics	Human Computer Interaction	0.0663	318	0.0622	0.7965	980	cat	0.8861	204
4	1410 m^3	0.4376	Bioengineering	Computer Game Design, Biotechnology	0.609	1322	-0.0732	?	1734	reptile, bird, ferret	-1.023	577
1	281 m^3	0.2771	Electrical Engineering	Statistics	1.1524	-302	1.2219	0.7374	650	pig	1.1558	2177
0	1572 m^3	-0.9486	Games and Playable Media	Electrical Engineering, Bioengineering	-0.4215	524	-0.0741	1.5625	-1144	hamster, guinea pig	0.5078	None
2	1187 m^3	-0.2843	Computer Science	Natural Language Processing	0.7156	-1978	-0.3651	0.3113	-202	rat	1.1097	1915
3	1931 m^3	-0.7373	Robotics Engineering	Data Science	0.7289	1483	-0.0588	0.9644	1043	chicken	0.6543	1267
2	854 m^3	0.5122	Computer Science	Natural Language Processing	-0.0334	172	-0.3679	0.9975	317	dog	0.6946	1285
4	340 m^3	-0.3414	Bioengineering	Biotechnology, Robotics Engineering	0.0693	-582	-0.0567	0.3022	1438	ferret, fish, reptile	0.2098	1305
3	2539 m^3	0.6825	Computer Science	Data Science	0.8295	679	0.9333	-0.1306	898	rat	0.1936	1390
1	910 m^3	0.3138	Biotechnology	Statistics, Games and Playable Media	0.0949	NULL	0.8108	1.1475	2117	pig	0.3858	36
0	-688 m^3	0.1037	Games and Playable Media	Computational Media	0.8231	2185	-2.0209	0.3729	581	rabbit	1.1142	1002
3	434 m^3	-0.1046	Robotics Engineering	Computer Science	-0.0911	1607	0.1264	-0.3721	1852	cat	0.1567	2670
0	-588 m^3	0.8995	cOMPUTATIONAL mEDIA	Bioengineering, Bioinformatics, Electrical Engineering	1.0543	-605	-0.1718	0.6892	1201	rabbit, hamster	-0.1777	-778
2	1354 m^3	1.0141	Computer Science	Natural Language Processing	0.6939	-1623	-0.0784	2.2631	250	dog	0.4661	787
4	-422 m^3	0.5889	Bioengineering	Biotechnology	0.5745	1546	0.3924	?	-357	reptile, ferret	-0.019	905
3	?	0.1229	Robotics Engineering	Data Science	0.7107	-1207	0.4823	-0.0656	1151	cat	2.0074	1619
2	591 m^3	-0.1804	Computer Science	Applied Mathematics	0.1346	416	0.1927	-0.5028	190	hamster, rabbit	1.7132	1199
4	-621 m^3	?	Bioinformatics	Robotics Engineering, Computer Engineering, Biotechnology	0.134	181	-0.2628	-0.3104	582	reptile, fish	1.3514	816
4	-60 m^3	0.3815	Bioengineering	Computer Game Design, Biotechnology	0.8102	1340	-0.0763	-0.264	-210	fish	1.1494	1472
2	2550 m^3	-0.5694	Computer Science	Applied Mathematics	0.7659	600	-0.1056	0.5702	1540	dog	1.371	1036
1	31 m^3	-0.9694	Electrical Engineering	Statistics, Games and Playable Media, Computer Science	1.4497	651	1.624	1.6946	1456	pig	0.9191	1013
3	2116 m^3	0.2785	APPLIED MATHEMATICS	human computer interaction	-0.7599	-1130	0.226	2.0142	432	cat	0.1403	216
3	790 m^3	0.0767	Human Computer Interaction	Data Science	-0.8052	1347	0.7439	0.2544	814	cat	0.4742	449
2	-180 m^3	0.4881	Applied Mathematics	Applied Mathematics	0.7183	1586	0.2615	1.4882	-29	rat	0.0072	1004
4	-189 m^3	0.0611	Computer Game Design	Computer Engineering, Robotics Engineering, Biotechnology	0.0349	99	0.7474	1.5136	483	ferret	1.7332	1476
1	551 m^3	-0.3393	Computer Engineering	Computer Science, Games and Playable Media	0.597	1429	2.7932	0.7229	663	pig	0.4568	-78
1	1729 m^3	1.0796	Natural Language Processing	Statistics, Games and Playable Media	1.5998	297	0.8689	0.4498	2084	pig	-0.2842	1888
4	913 m^3	-0.6029	Computer Game Design	bioinformatics, computational media	1.012	1161	-0.2759	-0.352	481	fish	-0.7662	1859
3	-74 m^3	-0.9059	Bioengineering	Data Science	0.1542	-702	0.0415	-0.641	1700	chicken	1.5399	127
3	813 m^3	0.0538	Human Computer Interaction	Data Science	0.5227	475	0.821	0.8147	62	chicken	0.9826	-67
1	1409 m^3	0.1786	Data Science	Games and Playable Media, Statistics, Computer Science	1.0208	1391	0.6243	1.5668	535	pig	0.6636	1752
0	1386 m^3	0.8841	Statistics	Bioengineering, Electrical Engineering	-0.158	2960	-0.0662	1.63	1110	hamster	0.9084	2172
0	278 m^3	-0.7797	Statistics	Electrical Engineering	-0.7784	861	0.774	0.4176	-276	hamster, rabbit	1.52	-115
3	1107 m^3	0.517	rOBOTICS eNGINEERING	Electrical Engineering	1.4053	-817	0.5221	0.7424	-1642	chicken	-0.3237	1135
1	-589 m^3	1.2074	Technology and Information Management	Computer Science, Statistics	0.3876	1876	1.6698	-0.0612	-190	pig	-0.2992	216
0	958 m^3	-0.7079	Statistics	Bioinformatics, Electrical Engineering, Bioengineering	0.7619	1950	0.019	1.5189	768	rabbit, guinea pig	1.8776	1092
1	-627 m^3	-0.3799	Electrical Engineering	statistics, games and playable media	1.1119	1245	0.8782	1.2592	1052	pig	1.0314	2624
4	966 m^3	-1.112	Bioinformatics	Biotechnology	0.3664	205	-0.1227	0.3444	1446	BIRD	0.8779	2420
2	211 m^3	0.8537	Computer Science	Natural Language Processing	0.9053	1268	1.2069	2.241	339	rat	-0.8939	?
1	1357 m^3	0.331	Computational Media	Statistics	0.51	-1385	0.4741	1.7288	1197	pig	1.0272	393
1	-483 m^3	0.6019	Electrical Engineering	Statistics, Technology and Information Management, Computer Science	-0.8004	-266	1.2398	2.0064	1128	pig	2.0635	1817
3	1383 m^3	1.4695	Robotics Engineering	Data Science	0.5553	-704	-0.75	1.3988	810	chicken	-0.7744	1247
3	1501 m^3	0.7462	Robotics Engineering	Applied Mathematics	0.4882	-12	1.8158	-0.6939	-329	cat	0.3555	-277
3	1385 m^3	0.3721	Applied Mathematics	Human Computer Interaction	-0.5011	2513	1.8301	1.8547	1768	cat	1.0656	1204
1	2644 m^3	0.4561	Computer Engineering	Robotics Engineering, Biotechnology	-0.1344	1588	0.5491	-0.6046	52	pig	0.0649	102
3	891 m^3	1.3659	Robotics Engineering	Data Science	0.2829	497	-0.2734	0.477	544	chicken	0.9433	1193
1	967 m^3	0.558	Electrical Engineering	Statistics	1.0312	56	1.2078	-1.003	449	pig	1.5195	181
1	-355 m^3	0.2118	Human Computer Interaction	Games and Playable Media, Technology and Information Management, Statistics	-0.2228	-617	0.6383	n/a	-128	pig	0.3062	657
4	475 m^3	0.4683	Bioengineering	Bioengineering, Electrical Engineering, Bioinformatics	0.7953	625	-0.9068	2.2885	1758	fish	0.4586	199
0	576 m^3	0.3914	Games and Playable Media	Electrical Engineering, Bioinformatics, Bioengineering	0.01	1667	-1.0573	-1.2618	49	rabbit, hamster	0.1311	-205
0	-898 m^3	-0.3389	Computational Media	Computational Media	0.7596	1796	-1.3538	2.0222	-355	rabbit	1.5054	-454
1	439 m^3	0.0543	Computer Engineering	Games and Playable Media, Technology and Information Management	-0.1146	-1025	-0.3351	0.5075	1833	pig	1.1079	287
4	194 m^3	1.2008	Computer Game Design	Computer Game Design, Robotics Engineering	-0.0819	776	-0.823	0.8938	937	fish, bird, reptile	-1.311	-205
3	2237 m^3	0.9919	Applied Mathematics	Data Science	-0.0443	1341	-0.0636	-0.8874	640	chicken	0.8785	631
0	-93 m^3	-0.405	Computational Media	Electrical Engineering, Bioengineering	-0.9488	1017	-0.0805	1.0213	435	rabbit, guinea pig	0.0218	1101
4	1274 m^3	0.0592	Bioinformatics	Computer Engineering, Computer Game Design, Biotechnology	1.3669	1846	0.5945	1.1501	141	fish, bird	0.77	1643
2	1392 m^3	-0.0301	Bioengineering	Natural Language Processing	-1.1708	524	0.1304	0.143	-878	dog	-0.1756	2599
0	2446 m^3	0.8718	Computer Science	Bioengineering, Electrical Engineering, Computational Media	0.2934	1877	-0.2894	-1.0817	-700	guinea pig	1.3349	1301
2	769 m^3	0.2247	Computer Game Design	Natural Language Processing	0.7686	135	-0.123	1.0607	-25	rat	0.1162	-62
2	-596 m^3	0.1685	Computer Science	Data Science	0.1745	1433	-0.0477	0.6622	925	rat	-0.5347	1424
1	509 m^3	2.8283	Computer Engineering	Technology and Information Management	0.4175	-881	1.3845	0.8617	1218	pig	1.3113	441
4	-122 m^3	0.0155	Bioinformatics	Robotics Engineering	-0.4312	1732	-0.0438	2.0342	637	reptile, ferret	-0.2748	731
2	100 m^3	1.1886	Computer Science	Natural Language Processing	1.1836	-584	-0.4783	-0.0094	-256	rat	0.076	781
4	-812 m^3	-1.5452	Bioengineering	Computer Engineering	0.6171	-322	-0.1017	2.1173	2134	reptile	1.1423	1313
0	2500 m^3	1.2168	Computational Media	Bioengineering, Electrical Engineering, Computational Media	-0.6973	229	-0.5458	0.475	N/A	rabbit	0.751	-759
4	156 m^3	1.0841	Computer Game Design	Robotics Engineering, Biotechnology	-0.4134	296	0.1143	0.8272	880	fish, ferret	0.7889	2436
2	1368 m^3	1.1196	Computer Science	Computer Science, Games and Playable Media, Statistics	1.0677	1471	-0.4625	2.2395	504	dog	0.0483	865
2	2372 m^3	2.6833	Computer Science	nATURAL lANGUAGE pROCESSING	1.0959	495	0.4421	-0.2357	-247	rat	0.1656	2397
1	1093 m^3	-0.5036	Biotechnology	Biotechnology, Robotics Engineering	0.7718	407	-0.0948	-0.2366	616	pig	0.4002	447
2	1056 m^3	0.4845	Computer Science	Applied Mathematics	1.001	316	0.4579	1.3189	-443	dog	1.1272	1365
1	1454 m^3	0.1065	Electrical Engineering	Natural Language Processing	0.0063	-492	-0.1196	1.2775	1735	pig	0.4435	435
4	1547 m^3	0.2038	Bioengineering	?	1.4515	2430	-0.3584	1.0579	1045	fish, bird	0.8704	1256
2	885 m^3	0.5303	Computer Science	Data Science	0.6875	749	-0.5501	1.7565	339	dog	1.0934	1000
3	-264 m^3	0.0273	Applied Mathematics	Data Science	-1.2024	2214	1.2563	-0.0985	-245	cat	-0.0935	2290
0	760 m^3	0.0056	Computational Media	Bioinformatics, Bioengineering, Computational Media	0.3335	2250	-0.1047	1.1464	1052	guinea pig	-1.4849	-1765
0	426 m^3	0.4288	Games and Playable Media	Computational Media, Bioinformatics, Electrical Engineering	1.5267	-886	-0.6045	0.6149	1419	rabbit	0.1489	-712
3	510 m^3	0.5549	Computer Game Design	Data Science	0.9713	1754	0.3062	1.4136	559	chicken	1.3332	1236
2	71 m^3	1.2075	Computer Science	Natural Language Processing	0.4141	-386	0.1899	1.4036	-429	rat	2.6485	2409
0	1159 m^3	0.6815	Computer Science	APPLIED MATHEMATICS	1.0665	2022	-0.4504	0.6619	-705	NULL	2.0562	941
4	1494 m^3	0.5203	Bioinformatics	Natural Language Processing	-0.3801	1706	0.5578	2.263	731	fish, reptile, bird	-0.3603	1533
3	1067 m^3	0.7892	Human Computer Interaction	Human Computer Interaction	-0.2025	1357	1.5357	2.0064	752	cat	-0.2363	2189
2	547 m^3	-0.2352	Technology and Information Management	Applied Mathematics	0.745	-641	0.5917	1.2143	1187	dog	-0.0282	1619
2	1077 m^3	0.391	Computer Science	Bioinformatics, Computational Media, Electrical Engineering	-0.6682	-461	-0.7417	0.9848	712	dog	-0.8789	-54
1	1137 m^3	0.8011	Biotechnology	Games and Playable Media	1.0536	-19	1.1338	0.9192	1513	pig	-0.0337	474
4	367 m^3	-0.3456	Computer Game Design	Computer Engineering	0.3463	536	-0.6041	-0.4235	1395	bird, ferret	-0.9039	1353
2	182 m^3	-0.0782	Bioengineering	Natural Language Processing	1.0516	798	-0.8017	1.1823	-793	rat	0.7023	1234
3	902 m^3	1.0266	human computer interaction	Human Computer Interaction	0.2811	2189	0.5991	0.4844	612	None	1.7975	145
3	873 m^3	0.8127	Human Computer Interaction	Data Science	-0.1346	1819	1.0734	0.6147	1272	chicken	0.4313	715
2	1482 m^3	-0.1653	Computer Science	Applied Mathematics	1.893	2982	0.6889	-0.1286	-1008	rat	0.6045	-377
0	1644 m^3	1.1838	Statistics	bIOINFORMATICS	-0.1384	2014	-0.3676	0.6721	200	hamster	0.2519	1342
2	1090 m^3	0.5355	Computer Science	Applied Mathematics	0.941	-153	-0.4381	0.2323	531	?	-0.2222	1402
2	65 m^3	-0.433	Computer Science	aPPLIED mATHEMATICS	-0.1563	-620	-0.9088	0.289	595	rat	-0.7769	709
3	-168 m^3	0.6173	Computer Game Design	Data Science	0.5833	807	1.1731	-0.5702	1390	chicken	0.5249	2816
3	1877 m^3	0.7748	Human Computer Interaction	Human Computer Interaction	-0.663	3109	-0.0534	0.3311	933	cat	0.5233	313
4	270 m^3	-0.2896	Computer Game Design	Computer Engineering, Biotechnology, Robotics Engineering	0.0541	1270	-0.1873	-0.5936	-1148	reptile	0.8339	888
1	2239 m^3	1.8523	Biotechnology	Games and Playable Media	-0.0271	1985	0.8292	0.1384	1129	pig	0.9792	1067
4	None	0.479	Bioinformatics	Computer Game Design, Robotics Engineering	1.153	636	-0.0023	-0.3835	1546	ferret	0.3949	2275
0	63 m^3	-0.4364	Computational Media	Bioinformatics, Computational Media, Bioengineering	0.2901	1351	0.615	-0.9573	12	hamster	1.2075	-489
4	-299 m^3	-0.8541	Bioinformatics	Biotechnology	0.6713	-1036	0.4943	0.1609	-194	reptile, ferret	0.6728	1464
2	2680 m^3	0.9887	Computer Science	Applied Mathematics	-0.0853	1738	-0.5067	0.1798	763	dog	-0.4213	209
3	799 m^3	-0.0219	Human Computer Interaction	Data Science	1.4174	1727	1.8676	-0.4624	670	chicken	-0.4372	1422
3	546 m^3	0.7735	Robotics Engineering	Human Computer Interaction	-0.1023	634	0.9198	0.6442	-352	cat	0.3066	589
2	868 m^3	1.9502	Computer Science	Applied Mathematics	-0.2169	-134	-0.6092	1.4114	15	rat	0.3025	722
0	1786 m^3	0.0969	Statistics	Electrical Engineering, Bioinformatics	0.2354	1624	0.6573	-1.1992	933	guinea pig, hamster	-0.3039	94
0	27 m^3	-0.5252	Games and Playable Media	Bioinformatics	1.2606	-1162	0.2446	0.8423	642	hamster, rabbit	1.2725	1057
